YEAR CLASS,0,1,2,3,4,5
2004/05,59.69849246,149.7889447,6.512562814,0,0,0
2005/06,51.59689922,193.8191214,8.599483204,1.984496124,0,0
2006/07,102.2222222,184.4444444,13.33333333,0,0,0
2007/08,86.5620915,276.7973856,85.55555556,11.07189542,1.006535948,1.006535948
2008/09,103.434367,248.4492561,28.19212125,2.303234726,0,0
2009/10,49.28800231,214.0331738,89.41234708,3.26665921,0.872462957,0
2010/11,13.17317534,154.6590935,95.46789381,1.69983731,0,0
2011/12,12.23403656,121.8404461,63.68165477,3.772709197,0.316051845,0
2012/13,2.851468391,103.9815803,138.7519017,15.50511626,0,0
2013/14,28.91808867,185.708383,148.5815721,12.20295992,0.29640018,0
2014/15,7.981661174,150.7264873,78.3026179,1.310898232,1.633958163,0
2015/16,9.184613597,131.1865381,116.0505711,18.2761716,4.266815381,0.892558587
2016/17,8.386776154,76.33710691,194.6339334,47.81605485,6.038061856,0
