"","Year","EstBiomass","X95CI.LowBound","X95CI.HighBound"
"2004/05",2004,93.5866603900681,76.447107051793,118.245000601085
"2005/06",2005,64.9131509234883,53.4820531405711,81.2814085713864
"2006/07",2006,93.8887782806105,76.206825391982,119.409963579856
"2007/08",2007,62.3816260200006,51.6881892686288,77.6422059294718
"2008/09",2008,98.1796947776988,80.0750136899212,124.247542326904
"2009/10",2009,307.357476958225,256.636948803455,379.384729256466
"2010/11",2010,181.211043483753,144.701152909933,238.685841428509
"2011/12",2011,165.099349689704,130.025157648344,221.02282022821
"2012/13",2012,108.024979855243,91.5220885390151,131.926770540984
"2013/14",2013,227.261515162306,175.968878298637,310.16274476005
"2014/15",2014,177.111871834211,143.5867117305,229.039090696439
"2015/16",2015,159.797409568078,130.287134081978,205.195720654943
"2016/17",2016,143.83545162225,119.319486449771,180.668087082265
