"","Year","EstRec","X95CI.LowBound","X95CI.HighBound"
"rec6",2004,1571735.71135955,1325186.63457419,1904096.45365477
"rec7",2005,1158465.72628847,969705.324520589,1421249.53133923
"rec8",2006,1043856.13271709,859863.65408407,1302872.33031783
"rec9",2007,1705273.20331557,1382346.72745427,2163208.60505796
"rec10",2008,3058712.76720994,2393603.428678,4011973.68516818
"rec11",2009,2020594.84878818,1550811.16847909,2718027.40778817
"rec12",2010,1851213.03266788,1396312.9869324,2537206.43012102
"rec13",2011,1698210.51634794,1278511.00570362,2330921.22089048
"rec14",2012,2196319.01624592,1656274.40940103,3010239.92296608
"rec15",2013,3054496.01414032,2316909.66567998,4163590.65211182
"rec16",2014,1738149.86641327,1322719.39936252,2365404.02042769
"rec17",2015,1736470.1169912,1131938.02380206,2955255.32815999
