"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"5",1.94199338509754,0.535113956468815,0.103157738514396,0.0344609323082454,3071.4547649771,0,0,0,40438.8458176532,723577.199493798,1545902.55738621,1139852.41188407,1024744.5288795,1669835.08388969,2978621.91781336,1972112.06966751,1816862.4709273,1676460.46491258,2191696.03973975,2732940.47190981,1984781.8879725,77.1867592572503,60.4760170376994,83.9486984625029,53.4085169148542,89.9310326353457,248.799645632636,152.646626418033,110.221797711963,94.2232911151042,216.771864356452,168.532160179467
"10",2.15970971954241,0.498583529197627,0.0960380873366784,0.0371022815055699,3074.17621392595,0,0,0,38887.0004597877,695858.673660751,1448537.4582312,1063319.57875228,948131.968825606,1530068.40098825,2688977.90111274,1756988.63092476,1592081.59727334,1465095.00857024,1910153.98144271,2373894.05645239,1632261.21524979,73.125523174467,56.9271329759896,79.9085242175399,50.0600371848434,85.2973540590621,231.841065525521,133.044006614638,95.6270371080082,83.8340026260859,187.030761939175,147.644673230911
"19",2.16976376233949,0.478506776205199,0.0922432056520109,0.0335489421760742,3074.14330427025,0,0,0,38532.1467067973,689505.009227038,1418207.04306973,1040418.34893954,926070.443769259,1491490.45272363,2613503.47403073,1698520.29402903,1534203.97200312,1413605.00893708,1848728.63525178,2313206.23489862,1779111.30620798,74.9937281488512,58.1748893805408,82.1622376968557,51.0357992411389,87.5317716368576,235.586005263219,138.224448859134,99.9752861503532,84.6708016332007,197.014603356384,152.322100101354
"20",1.70334094993966,0.544373148452285,0.109905468563408,0.0371977501956057,3072.72763458346,0,0,0,41985.1090733102,751118.412065262,1616306.62124203,1197618.00170311,1085137.1226798,1785388.08090332,3225769.30046182,2153708.46879885,2000982.9949036,1855665.81266932,2443593.04637547,3076998.9183664,2104519.2617062,84.0952173917267,66.2740759592043,91.0666578712632,58.7540538433615,97.8771250093696,275.129457430395,168.510976578915,121.100079560149,106.257463782002,236.80618042926,187.036974970782
"25",1.85020947112377,0.487915380617486,0.100425713502835,0.0425570830942174,3073.83375731171,0,0,0,40045.1371122949,716458.907534253,1484428.18746945,1094963.4903353,983433.824398029,1602183.56817847,2852200.36095826,1871935.5994079,1700117.98244717,1577301.12875668,2083036.7786183,2636877.62363133,1652783.81043011,82.6091716804147,64.5673308109682,90.0075629476972,56.9298911726052,96.2907612326775,264.62118054097,147.072458953034,104.823534348958,96.118748940086,202.918074193506,164.733362276815
"28",1.99112678313487,0.531520159452138,0.107581636960133,0.0373787313470883,3073.72155529566,0,0,0,40138.6267848349,718221.053946672,1521587.2835511,1120432.92754507,1005537.47006984,1635975.45550019,2905675.5495632,1923550.20470772,1773299.13620514,1634598.07615058,2133578.00308856,2651996.11483,1783016.14557113,73.0440342008589,57.4509265965077,79.2163186469173,50.8659076855158,85.045277627903,237.773299931216,143.867348712461,103.35891030026,90.8387503845692,202.040463385249,159.737339548223
"34",1.79703848967558,0.499260289430941,0.100963572438657,0.0402964094682064,3073.97197538627,0,0,0,40537.2369884294,725239.196144787,1517121.16147745,1120756.5345512,1009163.78474596,1648692.07238453,2948873.55559746,1942041.5018976,1771522.46283355,1644516.67587346,2172884.99783814,2753081.99947767,1805449.10052423,84.7234281004716,66.2517540006486,92.2783839458543,58.4337626466802,98.7466418080994,271.730261939896,154.656235229933,110.59657005699,99.6458872980971,214.971916869166,172.596948661396
"35",2.0213759047902,0.502925311408119,0.110844760373724,0.033091174253859,3073.31829918878,0,0,0,39513.6261839721,707035.004574928,1460917.52697673,1073960.07373246,960831.478436611,1558876.6043939,2749855.17601996,1810647.09186018,1672619.37421355,1543992.66240844,2022910.3789866,2535738.01549961,1956837.76025946,70.4376170735731,55.5547537931359,76.2316465027772,49.2765984515649,81.9694865144951,230.910640104324,149.270208073818,108.057289172262,91.0764013782184,213.159645992232,164.335257338996
"38",1.64793868796222,0.550059346807766,0.107177007734771,0.0323147779623246,3073.65178458288,0,0,0,42483.5702137098,759996.575055475,1649666.2811972,1224491.97217516,1112224.18929198,1834451.423248,3330653.28165894,2226635.24332983,2075549.40072453,1927133.07757845,2542348.76822767,3214248.86916313,2508100.72882356,88.4937264237855,69.5782893447549,95.9963791931496,61.5891507749534,103.039848130147,287.810102410841,185.037386831086,134.148520391532,112.125415520585,265.097042338959,203.370515313607
"39",1.78981667645732,0.577987179813194,0.10777313222307,0.0277647857290189,3073.04005644886,0,0,0,42083.1690260534,752955.972399074,1660202.40478895,1229158.04835084,1113401.89014545,1829540.85444354,3307132.52293579,2217719.02050905,2083310.67862976,1924102.43149648,2515080.61011386,3135942.68074155,2721005.1388352,81.1565229932451,63.8420847828963,88.0035488590207,56.5306145435457,94.48785633033,264.291662420819,182.853726901889,133.833214185012,105.875985060253,267.450349698997,198.796011488591
"42",1.785169740471,0.51154293972411,0.105215088936157,0.0332011898040926,3072.30619420853,0,0,0,40838.1631698394,730625.999773016,1537172.53828462,1136006.82771071,1024130.7601379,1675657.87488564,3001823.78542229,1984910.54990289,1831732.60124835,1699811.2818885,2244339.20266458,2845187.6981785,2215561.64071866,82.7804588578614,64.9757719954914,89.9121809088179,57.450804921322,96.4169995502979,268.064305765723,168.773864497415,122.150697564166,103.075009666587,240.901427289214,185.850819308183
"44",1.95748593283231,0.437826261969117,0.113934270258844,0.0425195465742205,3073.60955300994,0,0,0,38658.5806626895,691673.382636148,1360628.2606604,998893.746574755,890327.027769729,1440568.58486491,2519563.315586,1639523.86753367,1494685.78195509,1388520.96837748,1841491.02448462,2351101.39484974,1528595.70414388,71.3395234233173,56.4111674199128,77.0587346756147,50.1204195577554,82.9802589032025,235.396647317228,139.059112527379,99.1174639139743,90.8610045842031,191.88491520166,155.748635415386
"45",1.72861908844471,0.605320984546598,0.0939652839516698,0.0277581248329907,3072.64282325207,0,0,0,43026.8187443987,769826.185509038,1762585.74510158,1309336.65983321,1191304.6222326,1963391.90420028,3590285.84836216,2410955.71000029,2241763.73830573,2069615.6756945,2700251.14071015,3352892.07656619,2852455.25648394,92.8473155867701,72.1411964621925,101.602507252532,63.357075276334,108.339046231172,292.902132957004,189.349251283348,138.589464234961,109.628925065237,276.960017822786,205.854279543326
