"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"1",1.79979807012531,0.615886525254557,0.0913451691712461,0.0255113415137037,3441.7582869815,0,0,0,42741.4914840628,764764.123630982,1766737.67161283,1310977.22274154,1191051.83907562,1958588.69359183,3575094.97129186,2399988.94135479,2219594.52402139,2033630.39506482,2618084.84781719,3606320.07518629,2035215.16143723,2508190.82659965,91.0713993893345,70.5866733736722,99.8385235242387,61.8889472667383,106.313518469709,285.458463957224,189.628055318594,139.528375806971,106.935000879799,280.545176117268,204.897002647996,183.923181637404
"2",1.67625852982025,0.568067954990281,0.103739135217976,0.0257287550735938,3441.54570564542,0,0,0,42651.406887399,763042.064400714,1683162.08509089,1249503.24363609,1135448.91516008,1872292.21044782,3405969.49530325,2281193.5251911,2119789.00278086,1948667.42932944,2526304.04361763,3525471.59934479,2028318.60157305,2612863.34940917,89.0607465034028,69.8150519123361,96.8261996443927,61.677026696753,103.755973129447,287.450350598635,202.732906016624,149.091931055072,114.632039709019,299.591572525405,219.192556183814,196.803186032679
"9",1.96925830661691,0.528775071703415,0.101113042360825,0.0278737953217788,3439.87685942873,0,0,0,40194.7202702975,719215.956343439,1531306.5578318,1128444.33455919,1013294.92091078,1648778.42077001,2935614.12286998,1938975.72071911,1777890.11115305,1628426.38112564,2102761.55529553,2919653.08871276,1663243.91694624,2018403.86982424,77.2308967983174,60.4008395648995,84.109438785244,53.2780054368804,90.0118069445154,247.784833909016,165.876678664945,121.377653972592,96.1618015982783,242.489994973328,180.389948267351,162.332691167228
"11",1.6564040417275,0.556244598946844,0.0963633324094044,0.0328295985243451,3442.78924856005,0,0,0,42550.8486768466,761214.550176684,1677834.10256028,1246456.41246547,1132818.12142734,1867343.76713092,3402394.9698577,2268599.55335439,2073870.38447948,1907662.13399908,2476431.0099023,3462249.95753317,1988547.18942805,2062900.16309745,95.1078480400145,74.0622506100941,103.907086078118,65.1412079434459,110.932725835068,301.769081726562,182.800868888805,132.395998479125,111.279539080298,261.326046870128,201.137247897634,181.823910310196
"13",2.05248591222677,0.51530625547568,0.100956260827504,0.0416038617116419,3440.93403853316,0,0,0,39588.357661527,708387.096274541,1490075.32737011,1095967.9618819,980962.12077779,1590475.29422682,2813904.15530322,1850892.12590262,1672340.89008828,1529986.65024564,1972865.65360685,2731145.88987706,1536188.76723145,1292424.29247833,74.1828625184417,58.0088970119985,80.79828494159,51.1633760973446,86.4615291505863,237.919903142066,133.73392777008,95.4482335079158,86.8903432884193,185.083385975096,149.567516580272,136.043685987747
"14",2.02071485920834,0.491779732187494,0.0935229796412577,0.0388269301408278,3440.47246145792,0,0,0,39327.3331088922,703696.297796723,1465481.965434,1078132.43480053,964164.035614258,1561476.51375419,2761630.13429263,1804654.13501113,1617132.29986575,1481338.5804304,1915780.18974368,2667670.84002705,1515937.68248395,1390872.27133812,79.7046116087176,61.903831399861,87.2468351997958,54.3511318826416,93.0103185516831,251.170915449884,139.584989522217,100.047119050659,89.0487697218007,195.009526820529,155.386012470326,141.08895151769
"15",1.98891747392808,0.5601477768394,0.096857481359867,0.0379034117131453,3441.34308718272,0,0,0,40642.5425043003,727249.333421712,1591660.62671845,1174034.77410131,1056324.81399692,1720806.22978085,3079079.44700178,2042732.53981877,1858335.67190841,1699913.44393757,2187594.87177829,3014332.7827511,1687681.92643701,1492973.1207206,78.909843791207,61.4764906296518,86.1817816501692,54.0878591860202,92.0320879459446,250.668606272452,143.206752851465,102.795629989571,90.7662510121646,200.729286568042,159.155986192264,144.422443453155
"17",1.80462569361452,0.546821629416812,0.0991795436906046,0.0284271101778231,3439.50193336758,0,0,0,41398.5269728969,740692.014914787,1609116.60626615,1190588.4587308,1075802.6593119,1762393.94702474,3176530.54071554,2110350.13968516,1938082.24365444,1778931.20714796,2302873.52208305,3207961.53512152,1836804.1457275,2176886.62761085,85.4708751713547,66.7290681054288,93.2025611092698,58.7920212962512,99.6464619139238,272.997712660966,179.304354760089,131.041517725135,104.574099177432,261.420651990077,195.269687014443,175.820085849197
"21",1.70508801686793,0.579687770872372,0.0939446116938177,0.0311237863512024,3440.42139401583,0,0,0,42682.2938600387,763626.35572243,1715639.21450448,1274194.86663318,1158136.52018666,1907664.50708491,3480507.69085611,2326962.26929069,2133204.01928194,1959118.43395882,2534812.44018909,3522934.95883244,2007975.50068226,2136157.11780502,94.1440086377227,73.1472963327783,103.022926805094,64.2398363595309,109.852472881125,296.977854761211,181.895500628294,132.181465911855,109.014088286011,261.939401918811,199.384347025812,179.977260180823
"22",2.09847281357754,0.457635173969784,0.0923148889795154,0.0366429801534431,3442.0681910643,0,0,0,38453.1393435785,688064.565097943,1394592.52957442,1023446.75974571,910925.946192703,1467930.9179708,2571393.60739022,1666067.647187,1485571.7423658,1360616.44815316,1761809.6817353,2461635.18058533,1407044.5795116,1396902.30282733,77.4966285184561,60.1205390509903,84.9002004905841,52.7450873782782,90.4520371127708,243.491594632487,137.63579346228,99.0038877885155,86.4303468127364,193.816351549442,152.609258697259,138.359938057246
