"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"2",1.8867232276595,0.541572853883382,0.0984408205918685,0.0408811001616787,3440.13361717305,0,0,0,36391.4627038785,735759.075954493,1581817.4199875,1165936.82734366,1050516.3496804,1715218.21575219,3078718.37873031,2032753.53014424,1846513.208109,1692947.8172085,2187010.84848585,3033662.38124319,1713017.03380453,1447155.04638248,82.5916076453028,64.1325018303128,89.6800142059203,56.4791090367553,95.8446723025489,262.097599726902,146.202236433232,104.654317928448,94.7340629741343,203.201866272939,163.625999297199,148.765580353359
"3",2.06050112627003,0.505194157232974,0.101204673759014,0.0319293595170358,3440.4490111771,0,0,0,35096.0887070375,709614.202741921,1473471.01299816,1081091.03982836,966672.425147701,1565781.57799947,2767120.71103189,1810066.05134838,1649928.58220741,1510342.37155136,1949556.7510548,2706733.73591046,1537456.41709577,1667326.58191448,74.1100463758915,57.6929063910719,80.3271578176605,50.8921721037183,85.968033241796,236.706381088987,148.463407689342,107.948933798168,89.8440113151296,213.513275534122,163.389572386034,147.589232269324
"7",2.1268347692612,0.458494821116273,0.108002399939218,0.0343229620834429,3441.20170323423,0,0,0,34186.4634830506,691223.516987326,1375293.41416411,1005942.81246874,894479.223633112,1441512.39891534,2515202.5601966,1630959.35833822,1479551.30106912,1354804.83858274,1753005.20062437,2446949.10098466,1398372.16781602,1471592.04070604,68.5061641181663,53.6547673576365,73.9354236089488,47.5161238646128,79.3919619812727,222.18595805851,139.330822715155,100.842250589536,86.0855025596689,198.384726111287,154.108679635494,139.477844776154
"8",2.01441868362099,0.519407973119952,0.105606706601313,0.0314149106320917,3440.91888206334,0,0,0,35486.8204749546,717506.001675315,1501136.81388393,1102458.34848164,987928.36783987,1604547.32003046,2845411.87352202,1870667.57648564,1717907.8889248,1573091.72665428,2030412.15059627,2817290.82212052,1599643.6402573,1744361.118996,73.5032392305072,57.4473142708718,79.4472738869249,50.8056429401821,85.211315156961,237.1304274732,152.975909638279,111.345620163795,92.1364199301183,220.497434838617,168.164881728403,151.835313910288
"13",2.1014223551894,0.446247699843673,0.112692335782023,0.0371821311807658,3441.70742772776,0,0,0,34089.7473954208,689255.348058908,1354452.66423924,990392.775084254,880179.036585031,1418499.41888201,2470120.48234715,1600267.12993356,1451057.86687964,1329792.15401918,1723598.32420406,2412873.10736654,1382516.35407992,1367636.93158091,67.2699307931391,52.8997080346989,72.3923878711459,46.9690102082151,77.909641662857,220.396794487538,136.341769207278,98.1791452049505,86.1336635728462,191.991294412172,151.627662172559,137.52243020707
"22",1.82922503625896,0.550106013109977,0.110709235908064,0.0425059246399046,3442.05878688018,0,0,0,36816.5490409526,744331.317792159,1593228.26601132,1174997.18302614,1060757.78108579,1737712.80663713,3122229.37293123,2075514.03395737,1909242.93511061,1751590.99063935,2264170.52857589,3142315.00218938,1774371.37037223,1441220.62623163,78.2584338640005,61.4367241610092,84.3196392956856,54.4897894730255,90.6603839987042,255.314012694208,148.556801549284,106.082349462571,97.2357987347195,205.373408925042,166.686149404861,151.695463836788
"24",1.87114246925529,0.555241609801518,0.102398602830867,0.0307060182628161,3439.51569663919,0,0,0,36689.3443213832,741782.794487232,1605439.93638084,1183891.59065159,1068150.42382086,1746946.22097591,3141294.0584596,2083015.21886724,1922126.74085307,1762299.78318254,2275691.66152905,3155931.92616937,1792356.17439896,1952002.56507792,80.9166738763215,63.0599997548189,87.6378907946336,55.6657842921826,93.8478502765077,259.157989678316,166.411348005879,121.301825232784,99.5572066690388,240.620314210726,182.642041881171,164.803288885388
"29",1.86830617944608,0.507209345359744,0.0987807182366948,0.0352250313539207,3440.3434695764,0,0,0,35918.4874918943,726165.619092146,1521072.37868122,1120257.09186071,1007206.23837548,1641837.09615538,2933522.88731779,1924559.73135399,1747564.10374422,1604679.28652114,2080891.55332559,2909087.21980512,1666939.43338498,1668341.78339311,83.1951057615157,64.6214554878452,90.3153852954651,56.9214092386365,96.5402745104167,264.22456738681,156.860061319927,113.342038471158,97.6257519246368,222.542876864295,173.80617854413,157.413945438828
"32",1.8233611266654,0.522215240464885,0.101208320210808,0.0338345702741283,3439.81831520016,0,0,0,36379.9800908385,735481.845795746,1556586.01101664,1147879.49321366,1034587.59403925,1691155.95245374,3034523.39611086,1999981.01645843,1827467.69357764,1678522.12580792,2176276.77730598,3040305.92691344,1742116.05932388,1791403.83556021,83.7463425715069,65.1947500895767,90.7716332990027,57.5098364358556,97.1461357289307,267.486822898917,163.53172354171,118.466041018349,100.628062684784,233.305357113696,180.697905805599,163.479979541919
"34",1.91268839745976,0.579539996118928,0.0953502319111559,0.0358528548094947,3441.22904158002,0,0,0,36875.8087517979,745582.347293365,1654048.22444651,1220296.26843433,1101898.43024679,1801492.36552019,3250327.88860299,2158621.30804314,1975729.42111952,1808986.76872482,2328652.07255791,3208459.67816169,1798850.77086996,1654884.55874935,83.4087308080827,64.579877671655,90.7505753898875,56.7654700659445,96.83649463072,262.741692824752,152.080809415101,109.765513632226,95.1183856754692,215.235473409506,168.713993121457,152.873395557027
