"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"2",1.74210521152917,0.665354712343632,0.0856568074780304,0.0300547682322668,5101.47090773469,0,0,0,49930.7933422467,907683.479527794,2032664.47385397,1510788.8071003,1419210.94040199,2388903.52013069,4645983.46236069,3329029.42359683,3169283.04367574,2484737.87220092,2999640.18845533,4060383.41011723,3087912.46009261,1650923.88031323,2736119.7916116,3403200.63576372,7808259.51617374,114.140749942157,78.0885372866506,115.661205994737,74.3528929176022,120.035705505493,363.078788205707,214.737091962557,198.118971359698,120.889202559405,276.75278243662,206.911641943951,187.246211415294,176.888344031326,261.35897977101,333.908237201381
"4",1.72940788224031,0.594774043869975,0.0888652684781139,0.0375175499628674,5102.08705978643,0,0,0,48460.3617239232,880890.235980034,1861128.38322216,1380467.30973435,1290895.44166582,2166286.36476248,4171630.99930691,2955587.53222696,2771594.63752507,2171790.62143091,2622451.33062667,3550386.79125921,2690320.60916911,1444663.1340994,2423934.37324976,3074755.76030282,6110903.4898782,111.829564283372,76.7475663282438,113.063308809097,73.2315516515186,117.540024950319,358.664486459258,196.300011896034,178.617695434115,117.761711238883,245.418312493711,192.118498032145,174.898442994025,168.31863075498,229.809948090062,290.985006867965
"5",1.8682848322409,0.596132907673769,0.0884760565698874,0.0313003468048186,5100.89998100325,0,0,0,47472.6004073011,863012.201617675,1818713.00559072,1344922.20309925,1252282.19018453,2090941.83261418,3996240.09478615,2824615.67611824,2663261.93645158,2084479.55589469,2513540.59543211,3397745.62750866,2569886.71498607,1375320.30145771,2299276.60813111,2906283.47061171,6781181.11566063,103.85919207691,71.2507265257892,105.033610258223,67.9692128437056,109.169933859626,332.773234723427,196.527977304711,180.85772567053,111.981090091857,251.882526267787,189.916488755279,172.058805017828,163.11421294602,237.509581377755,302.954037668836
"6",1.47151463398935,0.667203365405434,0.100151709264609,0.0381115860485632,5102.37056750134,0,0,0,52776.0914057159,959187.903731008,2132168.75975072,1594123.89626067,1511591.07013915,2575656.50535076,5067983.1486471,3673118.1935108,3533401.89340553,2776640.01046064,3361051.60119658,4563839.37129842,3485207.41883191,1873962.87024267,3124402.46172058,3912549.15976547,7297847.33345529,120.29328004375,83.4294020075581,120.689999843447,80.1707426018164,126.199153029755,396.488867263556,229.226481703984,208.375706944865,138.104070385708,285.968030388675,224.585193359293,204.53825904677,197.089619859484,267.616699781098,338.634703889635
"8",1.78301931476424,0.573688975560068,0.0972845703681765,0.0356354950533271,5100.48596794586,0,0,0,47590.4483408139,865093.760873385,1778812.44566546,1315983.41227736,1226195.40430207,2052210.14425434,3917497.80715552,2770391.47637089,2617509.15401435,2049700.7253676,2473696.40885905,3346866.60076516,2532145.90357127,1359563.1295332,2286906.8914201,2916617.50683489,6180561.99695397,101.409774655722,70.150028077418,101.938890924093,67.2933823876673,106.438092867508,332.014013182751,194.526569724849,177.570296046943,115.049193289077,244.92268331583,189.70718024944,172.470621416393,165.29354027188,229.804575748718,291.596645004105
"9",1.56117732336993,0.666195934838438,0.103627044380447,0.0318299474231479,5101.370383772,0,0,0,51711.3092708315,939925.658257553,2071857.80414163,1544440.24024318,1459025.25847057,2477020.21803576,4839803.98747697,3505790.29663895,3409601.59019672,2677230.98584368,3237657.26818499,4391917.48787423,3351400.71775714,1797643.50258991,2991410.44665947,3743540.6491383,8228710.41823329,110.613045357798,76.9531442904271,110.724835651923,74.0990611018329,115.979273752993,367.486642144294,233.407375746472,214.570716843384,133.652256973785,298.462989177724,225.824627990874,204.684481464306,194.323260130527,281.253631430538,358.512632812775
"11",1.8159653009971,0.619072892512653,0.0928649854994855,0.0316859983185902,5099.60476418041,0,0,0,48327.2334572158,878538.584565496,1877452.00735944,1390346.58591824,1298553.5446894,2175829.48279716,4177986.49893114,2973429.95880756,2828113.59610606,2214961.841981,2672218.91830894,3614402.97202117,2738929.92309582,1465658.08322704,2443651.08430702,3072417.47471742,6962495.14946079,103.050715933361,70.9931738718769,103.899467944091,67.9152874759729,108.239564437797,333.81589907525,201.070313115474,184.895870829508,114.982711535296,257.272563909988,194.475442017068,176.248165134613,167.26151632386,242.479840663368,309.143596127272
"14",1.7763364357445,0.644903352646621,0.0945578119487482,0.033557626475539,5100.27039388866,0,0,0,49192.7804888783,894270.762938431,1947254.37847948,1444148.38038164,1352795.8046166,2273529.94709907,4387730.41367489,3141951.78119357,3002294.4814809,2352716.60645734,2839488.07996342,3842120.19607179,2915719.57905655,1560021.56650623,2592045.31639639,3235405.39500177,6799900.31496425,103.94743085806,71.7245866177707,104.682480529795,68.6880439250464,109.150615275541,338.110516166118,200.373938413108,183.594696355896,116.50828341342,254.372623106283,194.590336634689,176.626984637095,168.43778773427,239.22359250257,304.291544037588
"16",1.61468423246662,0.638007445429399,0.0941948181663451,0.0309528937321391,5099.9556964575,0,0,0,50472.190678295,917416.465053751,1998790.37564979,1488043.96086096,1400973.28865991,2368198.44794732,4610881.28919197,3306883.03914369,3165116.377567,2483567.96839727,3002046.29460498,4070162.39537253,3099854.69826937,1663082.10486934,2777354.89542087,3500419.65462727,8079563.0322341,114.680129304905,79.1034488085381,115.519614782794,75.7373216336393,120.427812274976,372.693241352287,228.555981809737,210.479258340817,129.801742685243,293.379404930775,220.691283360873,199.878589604752,189.305489957503,276.754953563285,353.169081625475
"22",1.66281182521172,0.672486161052691,0.0916684192324444,0.0326984162172911,5099.66013468139,0,0,0,50819.7808887649,923803.768919518,2069348.78426233,1540442.62613261,1451267.91587425,2452356.90174965,4785609.28629869,3447118.93944407,3301858.86352646,2590515.43239444,3129694.59437979,4240062.02538914,3228931.64564973,1728780.36814724,2866995.92564465,3565292.72652933,7544158.74776213,113.634453589656,78.1959440619256,114.664691863775,74.7488818889714,119.380221014507,367.017617083117,216.516694158949,198.707824644351,124.956670290164,275.845069414556,209.882772905567,190.374343973291,181.151799910805,259.674268546044,330.649726258394
