"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14"
"3",1.74229743711688,0.56865611643108,0.104604631592219,0.0284590116485782,4421.30544722549,0,0,0,47778.1345241183,868473.802452374,1767419.08190249,1307770.60177823,1219305.65240424,2040735.20320475,3889363.12051445,2760646.33216055,2646630.77266216,2071699.69332445,2505790.57266458,3447082.13862001,2690489.52676665,1182358.40991684,1707790.2616677,4475937.58143875,98.4454789535749,68.5469491986528,98.4823869093973,66.0420302891712,103.205488445072,326.526615430434,220.200143616966,203.832071970777,121.921886960463,285.919321583452,211.387653253617,189.412180876457,166.856026873187,208.351822669663
"6",1.90987953414604,0.615717940529181,0.0951472573965304,0.0316657452210917,4422.91336110881,0,0,0,47595.0700557961,865265.906420233,1834180.95065336,1355207.08407285,1261734.52896441,2103840.23793329,4009919.24720437,2853744.45660696,2721457.9204239,2128583.16867867,2568949.97062135,3511097.91563314,2718333.71133812,1177724.99536383,1661622.60306388,3750328.15036461,96.2359502919537,66.4400099298849,96.8776787090417,63.6505616338101,101.043257576148,312.272912797489,191.140132363115,175.751002048613,109.27039154846,244.594961088473,184.900352498171,166.169271301217,147.752516767624,177.528841673057
"7",1.62584011254901,0.584610715224855,0.101127648391339,0.0280458116681327,4423.00106319893,0,0,0,49092.6888497807,892288.383250996,1851459.17856059,1374956.08109188,1288780.87994283,2168628.4536056,4175487.21481245,2975849.5715484,2853556.47349885,2236315.82367563,2708202.79477545,3731529.2164679,2921993.87451545,1285815.20710118,1861694.61632308,4901459.98484889,108.109192389479,75.0447443389456,108.395820962025,72.1554753376036,113.399088862643,355.765563744896,237.637206439943,220.174854794053,130.988884830651,309.174276710584,227.885954716783,204.111467062541,179.570453155314,225.419171822146
"8",1.83045087354637,0.617293648163334,0.100004535771097,0.0297175126774718,4421.84823550293,0,0,0,48182.5625210119,875914.323332179,1852790.81291519,1370714.87827239,1279086.20765643,2139527.53134398,4090272.43351374,2921154.64389213,2808669.23728142,2198175.65800676,2655066.38311466,3634492.56195898,2821889.23946391,1225581.85736271,1738934.56207356,4171307.466484,96.8084916407691,67.1326398185972,97.1372291680292,64.5048391176677,101.56377421972,317.753171915024,205.346191153528,189.56687405111,115.197838308203,265.065169100938,197.743264851279,177.400397925808,156.873102475528,192.845618199542
"10",1.96418073632578,0.511033514146583,0.0932972892728427,0.0346307839359552,4421.19961241515,0,0,0,45174.3538607756,821224.410269665,1608097.54424035,1183152.82134561,1091361.13823688,1804179.35773654,3377409.98388581,2351932.75602465,2192467.56523501,1711791.19868943,2066194.0046897,2838093.8428372,2201933.2906844,969915.269137657,1396602.61112686,3181267.31974836,94.9463618902395,65.4365664179675,95.7000211282052,62.6166848021825,99.7199237964726,306.710209528388,178.660685329274,163.359148030488,104.806227915606,225.836869876515,173.922918883354,156.682099174872,140.370537740034,163.355020722617
"12",2.00778674721851,0.545806736896283,0.0939833380749312,0.0392541692498916,4420.75720951669,0,0,0,45622.2036895031,829401.384138036,1665049.95526199,1225445.88720704,1132076.35058772,1873288.19819106,3517716.32232015,2465132.66828603,2302567.43137908,1797973.89627098,2168692.0910533,2969064.75750782,2294164.10854993,1002406.89275507,1420760.69671147,2790951.80068912,92.3807580487146,63.7093151772514,93.0704227917709,60.9901780956206,97.0142273101997,298.921270061456,165.92638669564,150.541434579961,100.75394839282,206.170319835243,162.927539307426,147.257778825771,133.264488778174,148.405087253152
"14",1.8575233015416,0.501757925489859,0.107009865070679,0.0404475152529495,4422.79168780129,0,0,0,45575.4827572338,828452.754873635,1594461.11437241,1174078.57900028,1085071.4376163,1800656.94662883,3372687.70677747,2358858.6818368,2214286.41286199,1730160.25641458,2091181.86697374,2880690.03904507,2241743.32887504,992996.460414261,1433073.17708657,2868992.7898905,90.8440439122027,63.3862882879408,90.7372861268662,61.1540117320897,95.200674431043,302.924080932526,177.233957902629,160.505139982746,108.480146329905,219.32224719136,174.383315441449,157.731791805944,143.075662675854,157.686630859892
"17",1.63953776589899,0.639144209696672,0.107326775074969,0.0297053637217269,4422.59060849457,0,0,0,50260.3348042829,913586.729219846,1959708.6380929,1456259.69203256,1369081.1440121,2310424.89532354,4468036.5822797,3224218.34448294,3141966.99790775,2463394.10748533,2981030.32022558,4091542.42939092,3193108.20640137,1390759.33197865,1981596.28889745,4703408.48993383,102.704798043116,71.6816564805261,102.563277332766,69.1696463234218,107.624938072893,342.712478117018,229.301244381885,211.686592443432,128.620650096335,296.003368881267,220.804901534029,198.087315380381,175.16002252518,215.357690596162
"22",1.8702598607515,0.57945380478326,0.0916150889014229,0.0345887238347101,4419.19164022531,0,0,0,47113.3229513995,856471.655045529,1775415.03345467,1311799.40947398,1219686.76939497,2031463.90456372,3864970.2100278,2730108.14979155,2569848.42501374,2009723.13737383,2427127.41637638,3326451.13483352,2580540.0738497,1126487.22672812,1601791.22019036,3450102.37477898,101.074063597763,69.549167578752,101.994178169794,66.4810096200286,106.185687278383,325.157728514561,187.730817552521,171.665474157658,110.089081234262,237.341577473636,182.736996672204,164.61711325818,147.46464827497,171.68477304821
"23",1.82764538638737,0.607607894488223,0.0941977918845311,0.0409652598829131,4421.46474688892,0,0,0,47997.5721881544,872543.958160753,1844900.26981415,1365245.56179875,1273482.95050379,2128213.64970485,4071549.59707567,2896282.42630606,2729577.89278264,2136078.10381118,2580461.27694321,3533006.44760221,2737225.99435822,1190807.6913354,1673870.86892412,3020525.5037487,101.314985688507,69.884705299729,102.056428407237,66.9109923506176,106.392764958602,328.000818611607,179.23769295022,162.193435442846,110.074296723576,221.417769759681,176.505573120436,159.70260910115,145.005113179775,159.113635270588
