"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"1",2.0187756535637,0.51436870954515,0.10115478314759,0.0389711644913977,3923.78178084356,0,0,0,44959.1246486687,817335.758838249,1590102.30017038,1168261.30456815,1076103.60206866,1777101.92777476,3312236.85534769,2311804.89710966,2164053.0504518,1688935.6605213,2058289.72920984,2867205.92565975,2339696.17673244,759548.388398514,982430.706269628,87.0497854234513,60.4276762092769,87.2790185940078,58.1021079302337,91.3088257433112,286.481146798622,165.502179234318,150.223463601061,100.301590199073,205.846643626263,162.431149918673,146.781950823846,132.758581966298
"4",1.76835149858384,0.560264544385893,0.104258896358821,0.04168416766483,3924.09082383867,0,0,0,47402.4945847206,861656.024126416,1741798.5970973,1287746.13208203,1198893.47505617,2003509.57834277,3808459.46539505,2697146.80917204,2548944.5063543,1994577.91748224,2436412.47242176,3401117.19959334,2787339.82145402,903249.53260512,1070284.76519888,97.2266659407264,67.6778146408276,97.2849399557493,65.1916300418551,101.933297474186,322.234496178332,184.003222969486,166.329029960202,113.515534349448,226.767316106841,181.409432459352,164.211236353169,149.296961347753
"6",1.79842434985622,0.496470818254342,0.108535997256999,0.0434196952940295,3925.90538043377,0,0,0,45816.3345225464,832784.440273278,1596840.20531718,1176957.47371094,1089198.98717611,1810900.59266948,3398661.56130461,2378108.51855341,2228762.46949445,1742255.97019476,2133655.19620258,2995971.80719499,2471022.65304672,813983.344054114,981710.837418632,92.8852597126285,64.8953971869299,92.6856979868785,62.6638263647386,97.3167740071153,310.764324649044,178.139408001164,160.629898178443,111.058313387978,218.3288828807,176.103953523142,159.569995005386,145.523315553671
"7",1.74165376200687,0.538804960295191,0.109481269611221,0.0397350507446582,3924.68725563085,0,0,0,47118.8242874744,856459.076073504,1696283.96875442,1253518.06500896,1165957.64198717,1948352.53250824,3692049.15264603,2609330.12808787,2474210.62260834,1936071.89331446,2368546.28568522,3316735.4891859,2730341.1881859,891948.661773414,1128595.40391838,95.3227580537876,66.6519694136778,95.0608688910949,64.3939579140516,99.8560352655165,319.572194874272,190.355465735368,172.576174226142,115.964031412514,236.13150464411,187.069346864603,169.130220427439,153.203930888817
"10",1.82400539090453,0.510879892973882,0.0947675324445664,0.0319801419260765,3926.70178032421,0,0,0,45967.6658142119,835567.636784566,1639538.04177752,1209541.03052812,1120228.93309677,1861190.19170564,3509019.83947554,2450709.79273911,2294270.3177017,1793402.33668952,2193903.58406317,3075671.17608331,2537812.44191225,834602.368552006,1321009.05743232,101.065057752901,69.7493435067148,101.765216032311,66.8051646483308,106.120269891183,327.642831923537,199.249334172123,183.093909514438,114.236378965537,254.627203277811,192.880176012251,173.387473886316,154.301006063647
"12",2.03469320928001,0.491681465967359,0.108665174877374,0.0364319539122976,3924.7928604607,0,0,0,44447.2459648322,808024.66440386,1534046.0321351,1125358.87536612,1034085.16856696,1704832.74172463,3157263.36026284,2197911.62066625,2067613.00212615,1612949.47446637,1967171.53403271,2745826.63504582,2247042.68374705,734292.117097358,1031586.39584173,82.0298567080079,57.3174552629149,81.8468892306275,55.3504712745567,85.941752269952,274.522556180012,168.801774579838,153.858311140501,100.43850752047,211.896075804934,164.905846339729,148.758154262975,133.825376362823
"13",1.95003818655879,0.520046988789949,0.0937701349627288,0.0289441185255576,3925.2069749303,0,0,0,45428.7090430196,825847.377642678,1628249.974108,1198630.93569592,1106841.54041259,1831805.90101167,3436315.97066082,2398159.82838675,2250944.83964678,1757869.20818584,2144582.58589908,2993327.66565181,2455699.08055838,801275.265672683,1370780.20883446,95.2768270331406,65.693447490659,96.0020777910776,62.8812101669125,100.059106261954,308.132548604118,195.16329783554,180.46482243041,108.616702554912,252.828045693252,187.581297994754,168.160249561596,148.357196907214
"15",2.06694291273379,0.473110809525218,0.101879506713835,0.0443858047983832,3924.18451720275,0,0,0,43948.8248232495,798966.484108056,1503925.5209543,1102424.3935462,1010837.85502752,1661927.56272859,3068380.39382086,2122430.26822817,1965730.63518947,1532647.73399144,1869555.30620544,2610883.64178568,2133613.5669179,698008.145468832,827486.780132702,84.5816009628969,58.752268842455,84.7639107882404,56.5153822628802,88.7095941973777,278.820554114836,153.729447649271,138.43509088544,96.3763306757148,187.85202930692,152.192661431227,137.977973081637,126.037311993356
"16",1.92700211842026,0.563336715973959,0.0904690271856367,0.0401749775056185,3925.50896421486,0,0,0,46427.0390573567,844011.143267758,1727507.75768878,1274405.53142279,1181598.14032884,1962096.52047848,3713896.23193426,2611728.32597396,2435741.66223146,1903603.47117129,2318788.56204766,3222445.85470487,2623615.23562943,843462.457644034,1020747.90650172,99.0250100339174,68.0648213128035,100.005728518774,65.0142717822638,104.05317709176,317.659634581683,171.298648862876,155.194356193582,104.660107405773,212.172969776617,168.466726973569,152.354097250758,138.125487817189
"21",1.98913769463374,0.477203742950235,0.0989931981035925,0.0318408120119885,3924.8372826829,0,0,0,44384.6271176881,806858.90878307,1530275.15855891,1123607.02507568,1032755.20540511,1702404.05662741,3159893.9810918,2188549.18643639,2043661.67961257,1594544.95461532,1947835.03487358,2727433.54712085,2243674.59544771,739139.055642577,1198442.18422699,89.7490243270949,62.180396331098,90.114303722542,59.710173639981,94.1729425636312,293.890053340502,183.067799580419,168.270433035041,104.82493743621,234.088265612235,177.160953050339,159.237883996537,141.656161890343
"22",1.75411378900735,0.502281131052837,0.101867224166638,0.0393583436068797,3927.14870650703,0,0,0,46224.183067859,840167.772020641,1629925.30429883,1203335.07309574,1115966.37393991,1858690.34804221,3506452.66554335,2453427.56137151,2295677.60481789,1795418.01414128,2200148.97911639,3092337.9223235,2556780.55714046,843818.189344069,1112607.98343829,99.67462413908,69.2354634685006,99.8902717367914,66.5989660232295,104.539435332664,328.565010764026,189.721078060927,172.101781101312,115.284280222524,235.650868041191,186.325675043601,168.416970563912,152.444595245814
"24",1.91333024419563,0.575368734260011,0.0897760836738821,0.0366016863782318,3925.46618570206,0,0,0,46753.8724814963,849953.730106444,1757889.71142359,1297737.77994878,1204803.10829177,2002940.20420301,3801639.45237488,2679488.4337426,2510219.51269895,1962323.43407054,2389804.83260232,3319302.97069763,2703343.86551662,867762.947896349,1133966.89936054,100.30876244921,68.9014130939703,101.350986122613,65.7838655486764,105.414531209816,321.219862844527,179.161180777019,163.253522625556,106.739593179495,224.756950133572,175.082384871911,157.957436073159,142.154601806575
"25",1.78126175452415,0.57439783593951,0.106923722958546,0.0387526771293454,3924.90782976699,0,0,0,47618.514400802,865603.437585041,1762676.37137717,1303095.05819204,1213825.27754198,2029615.31090221,3860099.13877767,2743191.42826307,2613197.42277622,2044974.65252509,2495945.89038849,3478718.41425358,2847148.98549118,919270.42074781,1149849.31614285,94.7879814484133,66.1332558672706,94.6818185876589,63.8011240549512,99.335083290358,316.015543364428,187.994805851489,170.698755758096,113.760985808067,234.002064413255,184.435842770472,166.642601647968,150.655185332167
"26",2.11122758080782,0.469041264235212,0.0954957896841525,0.0399225758258527,3924.31703128572,0,0,0,43683.4793612562,794156.215093227,1497293.84228898,1097049.01056442,1004636.18952189,1648409.70713255,3039406.60054011,2095130.68586591,1934624.06983236,1507772.31471064,1838192.13531579,2565667.52408924,2096369.57892065,686160.202553921,898535.398398161,86.8231556567344,59.96091511921,87.3814770982385,57.4559138691213,91.1550097453081,281.965639525913,156.74076068764,142.060020734537,95.6056318470686,194.308351772085,154.083961030254,139.324661988289,126.251215715581
"28",1.91445756966403,0.487474700306231,0.0985191056124815,0.035906090428448,3924.39296981412,0,0,0,44965.7163581982,817391.091394443,1566025.00270799,1151917.93149568,1061871.86418111,1756064.91090157,3278394.34805321,2277984.33755067,2123956.98845126,1658469.09118454,2027635.86749062,2841489.72982404,2339382.4644048,770137.072191882,1109860.11839114,93.5780853080941,64.805392898133,93.9886464222067,62.213072030759,98.1983037460839,306.089042248522,180.500757167131,164.670319359869,106.966609627581,227.033868429233,176.157347314235,158.847182501527,142.733107020155
"29",1.64094011606702,0.612908597074688,0.0913476716296614,0.0374870289079404,3925.96789685083,0,0,0,49627.9726508671,902065.364263703,1932646.10455147,1437119.10391433,1349512.96930259,2271515.96490747,4400474.66868468,3140605.16638458,2965123.16216323,2324086.61619064,2838761.48480071,3956833.6666113,3244184.14697077,1043646.38785487,1312180.31903298,115.450673362499,79.4215397542359,116.523172126681,75.904870846217,121.294839798908,371.161700381114,206.845943707173,188.201163566596,124.045694861026,258.639067189676,202.46986169752,182.780010543389,164.809879808195
"35",2.05454586669054,0.544843565140991,0.0959405320314942,0.0344883442459898,3926.34202420318,0,0,0,45359.1251498343,824633.292291703,1648853.37597413,1212318.14745819,1118452.45511907,1848204.23984927,3459906.75414669,2423919.68466424,2277712.83061576,1777906.16709918,2162883.20856386,3002065.36692043,2440775.38726261,785412.601998834,1105420.79702698,88.9131882694743,61.4295720690732,89.4580370921458,58.879411316542,93.3424709812588,289.060923338941,171.106058257996,156.491775275634,100.257394922534,216.409734164378,166.520610219303,149.997088448635,134.335656462227
