"","Year","EstBiomass","X95CI.LowBound","X95CI.HighBound"
"2004/05",2004,101.346367959852,83.3084270092286,128.038669764397
"2005/06",2005,70.0891160468565,58.0681062980246,87.7038487194272
"2006/07",2006,101.893319452778,83.2746816560526,129.630094241334
"2007/08",2007,67.2240358919072,55.9849037413509,83.5775787222487
"2008/09",2008,106.376165306415,87.3199973973838,134.622348666398
"2009/10",2009,330.328884198191,277.062605612515,407.034393886154
"2010/11",2010,197.699343216266,158.764093888489,259.619385377633
"2011/12",2011,180.953345829961,143.472629045912,241.514544938859
"2012/13",2012,115.432876845935,98.0660345320248,140.27362718344
"2013/14",2013,250.468673100878,195.535938635641,340.731746344934
"2014/15",2014,192.234570595506,156.575715483621,247.805041130624
"2015/16",2015,173.10226599307,141.74866074213,221.54779349639
"2016/17",2016,154.869290000023,128.921060537335,193.779083724655
"2017/18",2017,181.286842933763,140.392057442994,249.011000198357
