"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"2",1.78600766938909,0.530998551344051,0.102017932247494,0.0292284616337118,3440.76452071754,0,0,0,36718.3644161536,742307.454019801,1581955.4760521,1167810.59059767,1054473.51139245,1727131.78900098,3109186.79496874,2054723.69466049,1889791.14504069,1736507.56755504,2252246.47612758,3148462.31885808,1811018.31189027,2124081.38154516,85.0035140840497,66.2221315532645,92.0865582854537,58.4440536045116,98.5931183941165,272.009484035279,178.384986761745,130.440950307732,105.161315697607,259.692259277622,195.104617078011,175.808110397964
"3",1.94288599568081,0.527569052209249,0.104219081586438,0.0255885606571513,3441.64789473216,0,0,0,35911.815100336,726077.138940073,1533334.61043834,1127979.27853911,1013424.01879905,1650554.94351833,2942693.82025734,1939327.69141096,1790949.95421837,1641624.31372992,2121603.27179879,2950565.24671646,1687306.20600788,2226431.16602499,76.9401175831347,60.059213555201,83.2348050267786,53.0731519877655,89.212930381747,247.445035805698,174.962987009821,129.03079136231,99.0028479242689,259.381721858745,189.558821181488,170.169781041248
"8",1.69587962867913,0.550286413460466,0.105960960439272,0.0292079113134352,3441.37364886998,0,0,0,37562.872648477,759335.175502016,1639972.19145736,1213571.44408025,1100518.04165262,1811473.71143616,3284045.9907112,2185136.63026463,2025868.02219232,1863210.63953871,2417931.90217258,3380624.15900284,1945793.69851829,2257806.01144947,87.0992505205341,68.0947902445425,94.1218431623714,60.2343325131935,100.96801452386,281.215242278428,187.927540820874,137.424967331733,110.763365002373,273.610747205302,205.531356311161,185.199977343456
"10",1.63215340777764,0.562009313604527,0.106869104252348,0.0368121543539678,3441.80270410659,0,0,0,38181.4631901181,771799.864615844,1683486.09463873,1248133.60873039,1135350.06511432,1875102.51552595,3417326.82429463,2282590.1314861,2108740.74882918,1940512.04430553,2518900.00233185,3519187.17192347,2014570.98620315,1872722.55020186,89.9467259613492,70.3773108395824,97.1437066575192,62.2855602947658,104.255769486651,290.995681357455,176.26815387707,127.010261035899,111.052633932955,248.557530660877,195.897816237758,177.62798460022
"11",1.97723737225496,0.551535882774722,0.105738624009052,0.0319605289278081,3442.28918131333,0,0,0,36134.70096503,730607.300704019,1566727.0701715,1152559.57137972,1036387.233821,1688978.17088649,3015440.25687038,1996658.14890251,1844668.86979917,1688646.60305636,2175631.12975452,3006178.11701875,1696167.25979806,1772521.1668033,74.8181704221946,58.4818489469818,80.8618448911944,51.7244774276707,86.7341053772337,241.443745164764,154.647649295161,112.438530975183,93.6130602982693,222.377166485411,170.207143912199,153.75161265058
"13",1.9172074866605,0.515330659935183,0.107795140208279,0.0254988832725989,3442.05959995581,0,0,0,35830.6335909064,724418.307382746,1511756.5042822,1111929.88843533,998664.952003073,1626880.63930407,2896116.78930466,1906904.61697473,1762934.72327531,1617262.95727649,2093789.63009014,2921346.2031165,1678625.66091758,2251445.54696552,76.1011751964593,59.5924671597625,82.1429304124984,52.768335584869,88.1963530496721,246.706413266605,177.620675947731,131.020063669125,100.395624930615,263.447026663629,192.389857787437,172.693887004869
"14",2.09298668733865,0.438471252452871,0.11173992618015,0.0419375255096215,3441.74469427104,0,0,0,34002.9476183397,687494.151542052,1344545.0901149,983054.051339426,873277.884807342,1406796.65469969,2447861.91138719,1583013.21864756,1427474.7998252,1308631.09538414,1697496.84484587,2378937.08383854,1361683.78697161,1213952.80305225,67.9479518976954,53.3895900643856,73.1644564949828,47.3793786106889,78.704985907735,222.167203445088,130.503330588707,93.2684911875082,85.1238613451383,180.748343884337,146.300927549343,133.099002217264
"17",1.99102898014059,0.489886918302281,0.100667751691774,0.0364091239367434,3439.48932990035,0,0,0,35128.3983093724,710236.953541804,1461034.97621249,1072731.70065396,959758.970170586,1556237.00048576,2753309.82157173,1797234.82915613,1627502.89278098,1492121.47748313,1931733.58455424,2695057.73193326,1538027.81617726,1503378.93074136,76.9939734395791,59.908614636192,83.4817803319795,52.8298524517502,89.320241240688,245.611796368057,145.158595976594,104.667146013681,91.1764604091771,205.001515590392,161.203431618906,146.127147460697
"18",1.8154257922094,0.576558793470991,0.104508957853294,0.0433814477793991,3442.32299537891,0,0,0,37332.9662960201,754782.699704591,1658818.33624834,1225289.52356665,1109026.05185043,1820076.63151162,3291007.92876836,2195215.32795952,2014275.21732333,1846914.06064494,2382784.12170599,3293112.29270712,1847114.18706213,1440098.40736744,82.1769808872664,64.1637037613315,88.883838126809,56.7097137796095,95.2812635443104,264.460185878887,148.539390562191,105.936227027508,97.7313308073031,204.777524141554,166.887331374884,151.955043503816
"20",1.90794953190636,0.587160490204764,0.104276854507662,0.033507547866516,3443.21063317867,0,0,0,37021.2796008799,748525.520849122,1653826.91244299,1219676.86545413,1101785.46632904,1803614.35447094,3249739.3401249,2168472.9793819,2011603.93690668,1841687.49617799,2369795.05129584,3262739.95622382,1829902.27191305,1780617.8193396,78.3175956297353,61.1376256925819,84.7218856467027,54.0279300363474,90.809396373669,251.907988931165,156.944396406826,113.7644631837,96.3075421238008,224.208672734169,173.302819558075,156.748620609687
