"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"1",1.55590873146617,0.648474419095636,0.0934672106221353,0.03766862133434,5100.95877761525,0,0,0,51328.2230481767,932935.741319904,2054897.41136417,1532824.66633586,1447353.11283541,2453770.35783135,4802519.62167746,3453799.13737049,3285335.09870433,2579417.04224723,3119812.68244358,4232233.58373509,3224513.14450693,1732544.05438126,2892002.54645753,3631368.98347665,6926512.38012082,119.698562323482,82.5088220114511,120.634676424601,78.9616954768772,125.713007553406,388.314946144383,217.830098473689,198.159114818626,130.821221150733,272.185857014971,213.248754369291,194.154986584974,186.910651795517,254.835183306089,322.618104231021
"6",1.74985738398681,0.622531169981465,0.0960140449856461,0.029662532651632,5099.844161319,0,0,0,48915.1297998103,889193.170490903,1902022.43108989,1410399.30750062,1320212.11614636,2218403.23500181,4273394.81435321,3050589.7736869,2920843.61691995,2288927.62358364,2763142.96864327,3740384.42236662,2839661.88903434,1520671.69983049,2538014.31041509,3198726.69450636,7727194.56699046,104.335993240955,72.0899852974879,104.970138357124,69.1004086375004,109.532248922752,340.564123605464,215.10067395256,198.618076368419,120.617433033949,277.718900993877,207.066709607625,187.318252427899,176.7530565431,262.399966776852,335.410102239936
"8",1.82362468086928,0.564098365681292,0.102361464513272,0.0327512807586483,5101.69041570228,0,0,0,47101.490061241,856221.957345613,1736345.91143839,1282527.40972413,1192453.61559683,1992260.51486255,3783396.58997011,2673371.812191,2541669.15488704,1989433.05208134,2399951.15837953,3245599.95001399,2453678.90258791,1316668.44015031,2216526.07993446,2834282.46353707,6544818.28475932,95.5395015884814,66.3922796363379,95.7151635535581,63.8826237795806,100.194590982525,316.500246718379,197.282021845437,181.03692913165,113.909205741279,251.284190812955,191.259281087495,173.489483655299,165.107473010324,236.538662880874,301.171065481942
"9",1.69271848767497,0.595281514589883,0.0933476470133211,0.0399956691012965,5101.84046015608,0,0,0,48769.0761021233,886475.923629638,1866295.85280962,1385018.66127785,1296596.82254109,2179723.6916711,4200858.04804017,2983647.2729707,2805830.82277784,2199331.35852488,2656720.1569673,3598219.05928806,2727669.92728458,1466134.45801679,2461908.26480079,3123974.97520152,5859074.90812547,110.12882795416,75.9038371057038,110.999177146295,72.6351920206712,115.664736405812,357.165527354511,195.452534539281,177.146757913282,119.290585366344,242.231353269095,192.124012147128,175.190943270454,169.451071876624,226.258793658895,285.724301845351
"10",1.7007231536267,0.606410136040277,0.101711580824784,0.0348619860154857,5099.90837857771,0,0,0,48956.5706366903,889900.881612717,1871249.04162033,1387879.2920018,1299515.09103082,2186572.7283,4207410.84601543,3003467.43810161,2871077.97718651,2250547.78342106,2718256.66849252,3681517.8168593,2793749.17006747,1499617.90693323,2512849.13052271,3182825.25863632,6719604.07185347,102.917826752285,71.478339497465,103.151039096037,68.7501214382262,107.943613050032,340.438073824035,205.854058240012,188.167420494123,121.000390284847,259.966138086966,200.447379684182,182.12901968195,174.235954494471,244.126195172771,310.047354829893
"12",1.60543797298621,0.667158668852997,0.0968569870082219,0.03673923095403,5100.04716767315,0,0,0,51265.8749782469,931867.109227226,2069507.86369044,1541873.59185451,1454752.89710408,2464187.22667813,4813464.9248358,3474966.33998915,3332692.92228199,2615843.6339936,3162163.81859628,4286811.99724717,3265245.94294158,1751306.90953849,2910693.5705987,3627737.61499072,6940262.74925149,112.992167628001,78.1314925776293,113.61435535052,74.930215195827,118.603095396836,369.55995238159,213.297431460733,194.33630121915,127.224131484988,267.43578056745,208.452846119925,189.66506544525,182.22295297343,250.631489983581,317.62472232785
"15",1.89360839294115,0.584419755494772,0.102931663086608,0.0315437718491435,5102.63686035514,0,0,0,47063.4993405792,855579.297659145,1756808.54669238,1296501.18134582,1204709.95081254,2010503.61958878,3813773.34491841,2702755.20593629,2583499.00892155,2021385.34390269,2436860.92939266,3293070.596412,2488184.90750384,1331789.8340617,2229713.05672047,2825710.04989999,6604551.5967065,91.6392940932717,63.7140950525364,91.7735355637159,61.326160266552,96.0956326645149,303.972880112641,193.218873011683,177.726127616437,110.346947655203,247.378873005437,186.821728921062,169.290967339516,160.59711626631,233.194685475076,297.358849174048
"17",1.52023344029059,0.673704079064662,0.100591907782844,0.0285800168362061,5101.64510679672,0,0,0,52360.8513110062,951702.740123894,2120737.4641288,1583469.01509191,1499159.64817048,2549931.11595211,5004750.49390687,3628776.7577476,3534456.98595941,2776429.20967932,3358828.47329661,4558673.50464582,3484734.12151037,1868956.36110334,3109232.53739253,3893467.43391945,9438378.33865001,116.0668752117,80.5299997812448,116.415754030665,77.404904940405,121.75662233358,382.947695177601,251.983227160595,233.217804771969,139.717347098802,326.990307974215,241.92338460449,218.623613923602,205.616692032222,309.379808689097,396.031107621044
"21",1.84220622687706,0.555734102389898,0.101869542911824,0.0302809130492953,5103.31316836511,0,0,0,46801.327397928,850769.669997108,1714437.90878107,1265562.93923153,1175302.49305076,1961198.22712756,3716519.60031089,2620492.99070106,2491795.82346206,1949927.93491567,2351820.32787922,3179845.42315868,2403225.01494259,1289391.42497957,2173115.94108441,2787075.05269595,6978822.39911582,94.9067172340398,65.9237409915515,95.1119045422199,63.413441136255,99.5387847241489,314.051730325293,202.363396095685,186.615055508055,114.178861603667,260.5386740392,195.093621481221,176.588041533287,166.928837464234,245.977754354492,314.165191437829
"22",1.78513906631772,0.666816767323218,0.0856804753508164,0.0317317158567482,5102.3651005917,0,0,0,49597.7533535835,901650.739381079,2018614.58727654,1498903.82868109,1406232.03771906,2363550.37414962,4586060.2622501,3284470.70426675,3121337.07539461,2446337.00566535,2952167.63689574,3994002.20006066,3034043.69448864,1621322.50820857,2683791.45068188,3328768.51938227,7224271.24962359,111.36584831357,76.1918896095087,112.847443290902,72.5481305845272,117.117007526297,354.273670568279,204.409241079703,187.94922350435,116.941539113603,261.493134851248,197.725123454832,179.200330013047,170.08414925788,246.444291280731,314.179964823141
