"","Year","EstRec","X95CI.LowBound","X95CI.HighBound"
"rec6",2004,1804500.26571219,1563029.21767907,2120886.69027728
"rec7",2005,1335343.67341181,1147608.33581478,1584531.57205647
"rec8",2006,1245088.51566498,1055861.74676282,1499107.48051442
"rec9",2007,2081513.96824178,1742164.95927616,2540034.05798206
"rec10",2008,3975603.11359235,3237848.16758666,4993256.07990472
"rec11",2009,2821407.95548327,2256026.7252649,3603030.24856986
"rec12",2010,2676659.91059482,2109067.38360059,3483595.26883461
"rec13",2011,2094811.6016213,1645754.3634043,2734436.08829709
"rec14",2012,2532061.72192446,1984835.28077497,3311934.35325662
"rec15",2013,3475074.54694537,2723240.81502766,4548209.97098407
"rec16",2014,2702590.56956214,2108104.93654084,3559478.74586604
"rec17",2015,1181888.82734265,927899.487708845,1548172.66836885
"rec18",2016,1685771.2513688,1326146.13735679,2208235.53416316
"rec19",2017,3675006.8725374,2529351.86083869,5710145.87502909
