"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"1",1.79904028122489,0.586040553905928,0.0941959049222831,0.034087116387241,3923.75563098336,0,0,0,47742.5790615213,867878.498095747,1806675.39959333,1336930.27340302,1246254.22930629,2082199.67757419,3977879.67198214,2819590.27501648,2666510.27092295,2086677.44117539,2544960.90645929,3542377.30496362,2897503.41703133,933112.445184597,1300422.94721226,102.927441873508,70.9968147202639,103.680818151826,67.9756993092096,108.086069335181,333.219518810452,196.398699034284,179.755408047171,114.695184431188,248.798171041199,190.978786663952,171.974527021053,153.868850736218
"2",2.11320221082742,0.483083937097551,0.0945231741530682,0.0412535301170181,3924.67525769168,0,0,0,43933.291572925,798704.398688529,1523503.06157579,1116845.87791725,1023918.57471186,1681582.00569215,3108636.11003962,2148248.71840941,1984135.37087899,1546661.76755241,1884315.68493401,2625882.54939905,2140799.42984292,697477.576584485,874536.990975308,87.4008562381375,60.3053669315782,88.0209728775063,57.7510208739989,91.7763143696111,283.177673377936,154.595399488749,139.834519808111,95.115333294697,190.794170462115,152.310431638391,137.835072588974,125.217238329564
"5",1.65476486857886,0.617439224152674,0.0964719841474325,0.0424753994301444,3926.42665852018,0,0,0,49609.507522778,901745.913417366,1926359.11240553,1431459.85482606,1343674.92782385,2261796.35112772,4373335.53557049,3129218.15787267,2958790.0434126,2318950.05541144,2831178.14056958,3941837.35023587,3223047.31558787,1033267.07041863,1151441.37454872,109.9457133835,75.9980392730524,110.579785837368,72.8669489255607,115.412655035339,357.892133909775,195.22201564085,176.268347257161,121.024333345668,239.979682665012,192.711009386361,174.523065924104,158.89816090828
"6",1.76630064915195,0.544683506000444,0.102137009817099,0.0448572737668839,3924.75017448339,0,0,0,47075.2839372336,855692.226620912,1713384.29597088,1266379.49799132,1177797.72447931,1966224.17057,3731586.02288262,2632801.05523711,2469369.84420357,1931987.94828695,2361650.9971144,3301563.9253357,2708590.3926265,880808.294712118,989109.206782912,98.7972190776592,68.6424598250369,98.9934370287463,66.0390341568362,103.614745254815,325.873210274024,179.195012182045,161.264497665448,112.639994980645,218.658048175292,177.526130454992,160.986662886704,147.169019580446
"11",1.95817536478773,0.514845027164217,0.097316476284858,0.0369153548876637,3922.86190349828,0,0,0,45281.5962400479,823173.556293654,1610537.68203132,1184904.56450485,1093363.11586665,1808774.70452545,3385539.01227634,2362708.17367702,2208171.85069532,1724222.70955559,2103524.78373701,2935388.68054565,2402941.48237606,782814.87381721,1068985.12831037,92.3165745578095,63.8616886862408,92.796258736159,61.2623105009378,96.8935083422332,301.109058284358,174.438455280618,158.866009709799,104.170797844623,218.576555175816,170.567569980871,153.918555322859,138.615084360173
"12",2.14579295477821,0.46191711251041,0.0899140851769185,0.0360873676299572,3926.58493670882,0,0,0,43412.6842190244,789241.142585204,1486210.6243785,1088429.95121415,995460.580744957,1630271.59405448,3001238.55120694,2061221.76298068,1897253.24863298,1478084.23811451,1801558.36496502,2514548.21345874,2055607.85199332,673943.705229005,974334.265064057,89.3389507673503,61.3744587503466,90.2585287581068,58.6027241996753,93.8841445083713,286.19022015706,160.700400368974,146.560621752532,95.3663081384378,201.989451892521,156.888217368751,141.490297465507,127.189054231663
"14",1.94939887240802,0.54251911732542,0.0916040683030691,0.0303190262858115,3924.87931868903,0,0,0,45879.4989494436,834055.036605302,1676903.42758989,1235591.04045233,1143048.99422985,1894303.25233271,3568638.94663693,2499627.53557247,2347260.78849773,1833636.92250901,2234822.86182785,3112052.27003418,2545301.13107478,824840.848872695,1322756.36945925,96.9795019097036,66.7309970891177,97.8630862235228,63.7867131507488,101.88424047141,311.976916081772,191.026370685829,176.125821146503,107.809652386893,245.907061420988,184.21811721135,165.358449981597,146.480753854613
"16",1.92141615956319,0.469490345829395,0.110808558080975,0.0390895070248638,3925.04537099502,0,0,0,44565.8306941553,810112.233229264,1514347.2166407,1112159.18846649,1023151.67391337,1690466.59627168,3135576.68118185,2178307.82351409,2041453.98464785,1593563.218231,1949763.08497503,2736681.77655192,2255639.27710371,745468.100675495,1007884.64415198,85.6688796625067,59.9689609070068,85.3619001744865,57.9799221925846,89.7248211157219,288.026136786555,173.676958350404,157.614136545875,105.341550264425,215.924699089691,170.489366906,154.075773175032,139.388708024707
"18",1.71728595722166,0.542840928548572,0.108034480482928,0.0302211523562594,3925.87798660516,0,0,0,47385.4829814379,861290.47505729,1714687.33685424,1268141.01085457,1180938.13755192,1975616.92007751,3752761.67894919,2654362.66421666,2536796.53486473,1985586.81251609,2430049.88919645,3405991.01109532,2813826.47466538,922181.902129717,1505857.59494397,97.5957183131579,68.1571962711973,97.417167006052,65.7949417826619,102.259888982853,326.168056886065,217.171122648199,200.27184142227,122.446707100226,279.686562532346,209.382572733701,187.92984313897,166.428469028704
"20",1.61622126114849,0.604882558966589,0.102223630199063,0.0333659603986154,3924.73121753211,0,0,0,49663.8199483794,902685.661463821,1900228.63790843,1412234.32609966,1326006.02759018,2234860.69621073,4316104.67550115,3089841.27735786,2962191.96489305,2322103.46976835,2838640.15862644,3963525.92709064,3260574.71024438,1053886.30948766,1490622.36047573,107.90502490615,74.9761576332934,108.113189755514,72.1361858278002,113.165100675941,355.984666161688,220.664965386718,202.23535280672,128.080275894203,280.359827084643,214.253075034918,192.822009655258,172.213441838851
