"","Year","EstBiomass","X95CI.LowBound","X95CI.HighBound"
"2004/05",2004,108.268749917986,89.1056252120003,135.711543695203
"2005/06",2005,74.7007683540185,61.9988593321986,92.8411557426466
"2006/07",2006,109.040285350699,89.1867734030709,137.524539171519
"2007/08",2007,71.5346547252999,59.7047299960648,88.3966096467368
"2008/09",2008,113.689750606995,93.4261864662673,142.721875155007
"2009/10",2009,352.098456238555,296.13535997768,431.635272863446
"2010/11",2010,207.298010052264,168.87031916164,268.908599006647
"2011/12",2011,189.772114200736,152.803214240042,249.840967910624
"2012/13",2012,121.020009293337,103.584264826972,146.312310160921
"2013/14",2013,262.655474311862,208.524075889917,351.866900339796
"2014/15",2014,201.513603814951,166.293930560809,257.029763773911
"2015/16",2015,182.980209481987,151.740079584136,231.873806049364
"2016/17",2016,174.701501219329,147.029050878702,216.881988343722
"2017/18",2017,246.880067347251,194.569056711977,333.664493448281
"2018/19",2018,313.851892407672,245.428656829825,428.115295333404
