"","Year","EstRec","X95CI.LowBound","X95CI.HighBound"
"rec6",2004,1943009.08944916,1689162.17398786,2276830.13303623
"rec7",2005,1442836.95041999,1244830.42109448,1706300.35235359
"rec8",2006,1353421.33727483,1153452.84301259,1622904.65093078
"rec9",2007,2278775.25356626,1919887.75295556,2767343.02650886
"rec10",2008,4408183.46007012,3621635.42479789,5498207.81384298
"rec11",2009,3152612.62290885,2546175.57208287,3988640.57008902
"rec12",2010,3004198.47961503,2400723.90414299,3851998.8691785
"rec13",2011,2355288.38994865,1877044.56288184,3027930.55464945
"rec14",2012,2844509.86399658,2261797.97922853,3664532.62216488
"rec15",2013,3852171.61983953,3054217.93167051,4975922.89969574
"rec16",2014,2925843.86155483,2300500.61289014,3813454.92422223
"rec17",2015,1568314.33006564,1232874.98884923,2043778.46515801
"rec18",2016,2616109.44491619,2071399.95029417,3386254.59151734
"rec19",2017,3287722.41414412,2635853.84608141,4210335.47343907
"rec20",2018,6936575.41559167,4954855.60063329,10540133.1246357
