"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"1",1.67834520405061,0.543506625322862,0.10423959943915,0.0297908817516332,3073.71543692068,0,0,0,42135.8718319051,753794.875871851,1631324.94878599,1209977.21683794,1097444.0090144,1806804.16693252,3274003.60241484,2182504.48795193,2030365.87654231,1884891.55293324,2487101.0716575,3148754.09805995,2662569.54814967,88.6417558795311,69.5171319947809,96.3393197125829,61.4316590114584,103.259684916424,286.419856579264,188.567771646972,137.406939659893,111.548797356758,273.177084339161,206.05185587131
"7",1.76026642255579,0.59549024736061,0.0961497421035901,0.024451623077283,3073.21415064923,0,0,0,42614.3205867012,762456.085287111,1726691.94907655,1281108.48230651,1163503.74123619,1914498.87223695,3487278.06062639,2338012.18690006,2182788.10703598,2015291.52801071,2631232.35814904,3275774.29792623,3164515.18034554,89.642527017389,69.7925638102401,97.9502338797528,61.3777432377644,104.561710702756,284.283241488953,198.138981121449,146.176543026134,110.235304988879,294.804905378654,213.431478889794
"9",1.89441740079203,0.553905646445252,0.103048451589041,0.0334845090203016,3071.58459645536,0,0,0,41021.7193783378,733997.642547613,1592644.77288087,1176115.62475656,1060285.90199492,1732664.83317724,3107446.62381627,2066740.67777025,1911831.1005489,1763880.22665295,2303695.85115244,2866565.32863364,2111210.61961165,79.1858777066216,62.0363475408012,86.1290955441456,54.7830045486882,92.261824724727,255.180415766262,158.448249154072,114.616575310954,97.0055769769748,225.899624565124,174.584921585636
"12",2.1376212824804,0.441712862629525,0.101013190579809,0.0423567237074115,3072.65045903081,0,0,0,38057.5756486735,680991.876858626,1352154.70221365,990603.515418825,879516.881359413,1414617.84570909,2461165.55116547,1592390.76327682,1433795.53347641,1325165.84073206,1743591.84198171,2199840.01581402,1408654.32786503,71.1991758015869,55.6785733611248,77.5456095767221,49.1097088685325,82.9832278317966,228.380482758683,127.527079847377,90.9189513981879,83.2436199748139,176.0637538409,142.79619707283
"14",1.86921163372774,0.534365262660482,0.104365137360672,0.040433786812576,3071.60552956234,0,0,0,40801.922610998,730042.189408486,1560105.50640479,1151843.53586271,1037587.66111203,1695000.00761063,3033970.50126955,2011806.61128505,1847136.55288409,1706994.4277661,2236347.84550349,2792744.74542691,1758262.54035999,79.5214747021199,62.3714268759919,86.4199977730977,55.121066971716,92.6335424995008,257.022642101651,148.485973161435,106.161995418887,95.7563981309109,206.299513300902,165.748894196887
"16",2.09344140738797,0.410264158137002,0.10084809511284,0.0433155061157643,3074.51462612566,0,0,0,37695.286422533,674480.930185601,1308800.84641214,958349.6350795,849461.67847437,1364654.64371892,2365242.20372274,1521224.16677305,1364886.14641138,1266139.61441331,1677634.92679324,2141217.3317065,1386225.9489388,72.7883024430941,56.9128817127905,79.2850200874262,50.1934750393757,84.8376160493636,233.389184285433,129.118521027441,91.9286094248364,84.7679133023596,177.720670814499,144.792480191651
"19",1.94695126179136,0.500920327823429,0.110470626085736,0.031295660437264,3072.00501744549,0,0,0,39812.1847174256,712348.120689321,1473114.23248719,1084322.86860701,971880.186157719,1580326.01719961,2797734.46997244,1843552.76833553,1705990.81181844,1578022.1723866,2074461.12241349,2615413.46027169,2145045.387856,73.305617083412,57.7985531769299,79.3542722379322,51.2562578519923,85.3118993915012,240.120558871643,158.89990080151,115.430944721147,95.3872287122138,228.652094082566,174.246156723438
"21",2.10685992413092,0.50082904150998,0.0974343930565297,0.024711216379102,3074.82903026032,0,0,0,39126.0001594097,700123.363502819,1459734.44209771,1072414.07414232,957577.18627419,1548076.3729746,2727613.79862327,1785332.0143145,1638374.00131884,1510079.67680258,1974774.22393142,2474887.40513061,2508245.76254086,74.1680911210915,57.8128773524003,80.9716680758492,50.8825137582788,86.493639084858,235.927858838851,164.645222319572,121.386832695851,91.9109036890678,244.625647265215,177.48947265927
"32",1.90449172518779,0.473602970138758,0.11286267514982,0.0308714671051585,3072.81291480439,0,0,0,39522.4125014012,707126.184398922,1431613.44865767,1053471.19117627,943205.244815508,1533025.97009117,2706230.17732699,1775657.52065235,1641128.61998397,1522985.34423781,2014654.19159947,2567375.55817979,2194890.01367269,73.8137699138906,58.3158699216905,79.7845318024322,51.7827402838386,85.8720854406771,243.014882345222,163.458254481344,118.843980845288,97.7285291500509,235.651047164497,179.070359831155
"33",1.95413049296109,0.438585006839811,0.104497266193172,0.0301194345677542,3074.8054521302,0,0,0,38685.4562828947,692153.04331747,1372737.13356547,1008428.95988077,899195.82328659,1454577.62033956,2550223.19967076,1655622.90969329,1511800.59366725,1405295.54606131,1866633.07986033,2397450.34220371,2157437.63503112,75.9964741679482,59.6135415063502,82.5821211672353,52.6877946387772,88.525471377644,245.702104869312,161.12970334845,117.332385028933,95.6314771397782,233.07841628601,176.208273847627
