"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"2",1.96507241980799,0.506093276292733,0.101207488607042,0.028255959631761,3925.17105602328,0,0,0,45072.1032880267,819363.050950023,1586213.97856561,1166200.81741364,1075039.07345639,1777394.29174767,3317448.66239825,2313723.82508966,2182792.00306331,1704118.78317454,2079800.31826596,2905990.54771064,2387041.41035498,781633.665860404,1384479.67012357,89.3949076121187,62.0585200866118,89.627203580327,59.6720522662349,93.7678943588496,294.234543688457,195.908301235618,181.427371376232,108.234658711891,254.625218801272,187.970752987376,168.395807398198,148.247797095161
"5",1.81366159163309,0.587060150585425,0.0966121914764617,0.0347701003285402,3923.83486093338,0,0,0,47659.9889205936,866385.989803735,1799332.74236292,1330845.89665325,1240002.94332446,2071138.61413076,3951116.96057821,2802909.61551248,2656352.42534516,2078505.72630152,2534264.26925266,3525630.49167641,2881083.61942104,926717.791351337,1265336.79285663,100.206087434343,69.2746286782858,100.774471157092,66.4262639316613,105.186313351716,326.296823659062,193.154621080569,176.567523882859,113.437404926667,244.023560892596,188.08527161348,169.458669095307,151.867345985978
"7",1.7455095386233,0.595803344897946,0.100273740010563,0.0363148217018674,3924.02759624861,0,0,0,48356.8901769184,879020.947479748,1834026.81266774,1358536.27217563,1269183.55994103,2126842.19430212,4073541.49530064,2902021.63169273,2762101.39464869,2162669.70744052,2638881.17556243,3674353.43807708,3006598.37938253,967381.409634352,1263809.42191895,101.320738046732,70.2787030525416,101.646676178911,67.5386162142402,106.293052619968,332.770863860312,197.032774391688,179.626032116453,117.131628884247,247.443526744818,192.442409136657,173.583651591513,156.118108627569
"8",1.68251512941875,0.61276767836993,0.103003223569169,0.031024928421299,3925.18025876798,0,0,0,49256.703455084,895349.423293197,1890056.30324825,1402514.90023317,1314464.31136886,2210614.77243991,4255714.31661357,3048242.89922805,2935593.95786628,2300143.882324,2807734.98047061,3910926.61451463,3207946.87229508,1032136.60929675,1545208.28425364,103.084794159834,71.6763437195088,103.230975173478,68.9928780202112,108.096488977981,340.684864272473,218.995984204916,201.622413171834,124.442974513068,281.026416966968,211.538571381979,190.002427098158,168.6474556538
"11",1.82409580353359,0.517488848630528,0.101450078357363,0.0345565199756946,3923.74497973373,0,0,0,46107.581881606,838116.928104828,1642356.21507777,1211309.74590964,1122204.50120336,1865989.98471061,3515533.23263645,2463814.02161181,2318817.1173323,1812728.81308953,2216720.35581131,3104872.61456411,2557683.01006644,838769.407939337,1226564.93922076,96.1364987193061,66.7530260201729,96.3709175964373,64.1952478315177,100.835350119578,316.599860455509,192.559097443152,176.090798871651,112.890692707703,243.476915122468,187.424627764838,168.835733802215,151.232050167374
"14",2.03291342739494,0.448003326952925,0.103747500386381,0.044530388343652,3924.86860981889,0,0,0,43621.605819726,792990.296020706,1463350.65744093,1072192.11618646,981858.744521793,1613088.21462237,2968705.31198777,2045037.06709422,1889656.432867,1473202.41184428,1800436.94741703,2523723.53687401,2072305.31319027,684119.402469142,828892.284229541,84.8741551841013,59.0529347616474,84.9532688530119,56.8667261666655,88.9900034897402,280.97212008429,156.114684044843,140.555479570271,97.951872320389,190.682959540711,154.58692629919,140.15971351961,128.060894904424
"15",1.7392422793045,0.524084071183332,0.0970612287276191,0.0385725695347203,3926.53420874667,0,0,0,46808.0503826202,850792.322664924,1686725.21259158,1247080.34975748,1159268.79985879,1934214.50788248,3669855.3972811,2575673.1311555,2409329.60304341,1885030.56142486,2307969.34681577,3237573.46437487,2671520.95105097,876921.561976103,1156273.90645675,104.137994435848,72.0225296422846,104.697049309355,69.0801965307266,109.305585613294,339.461801218062,192.898803119354,175.201889368872,116.582046916186,240.259189416276,189.186947462249,170.914889324022,154.460899536613
"17",1.97096664419513,0.485958965770808,0.108456650756342,0.0356037590369712,3923.97419285146,0,0,0,44645.061328586,811590.230552658,1537051.25906438,1128617.98063587,1038339.86436669,1714597.90307434,3182804.62789523,2215325.58880901,2083323.01055941,1625928.29138536,1985880.86574747,2778856.85039752,2282688.84891543,749763.91615755,1086549.62526232,84.7980905260939,59.2411875800405,84.6201785422075,57.2015062042696,88.8448574496425,283.658370109128,175.952841120618,160.605722517614,104.025603553633,221.570280330397,171.618073032733,154.719441672032,138.928248793685
"18",1.7691840373205,0.573528488979012,0.103683447538255,0.031814228744794,3923.86892763526,0,0,0,47687.1332780297,866842.366690343,1770779.87235449,1309739.94446368,1220549.11571001,2041246.46529621,3888106.7904518,2760147.31176539,2637396.99353401,2064109.89818028,2520093.89001754,3515404.58236994,2885362.51801756,934482.200191632,1408366.01736945,97.5696960944834,67.8822949956004,97.6647165633778,65.3667801451217,102.30223265276,322.953573914414,205.905219932725,189.271812502555,117.872841170986,263.320532118406,199.249679214095,179.087847820742,159.303081543013
"20",1.75133899127541,0.523438604641743,0.104246529927811,0.030584217609302,3926.10215150875,0,0,0,46710.4507163238,849027.588546687,1670231.80728639,1233850.79554011,1146166.76154188,1912114.70058004,3617928.01206748,2544290.70325863,2412506.04455537,1887319.76905443,2310571.75110042,3242062.48817759,2680665.04805439,881942.690024784,1446393.37954584,98.1795203040424,68.3403396867263,98.2391544060238,65.8293457368048,102.932479214791,325.383482399494,211.776105202928,195.150366549528,119.830691437665,272.29377833044,204.355616996353,183.478454782815,162.65520243484
